plant_id_eia,operating_year,capacity_mw,generator_id,fgd
6094,1976,913.7,1,1
6094,1977,913.7,2,1
6094,1980,913.7,3,1
6095,1980,569,2,1
6095,1979,569,1,1
6096,2009,738,2,1
6096,1979,651.6,1,1
6098,1975,450,1,1
6101,1978,402.3,1,1
6106,1980,642.2,1,1
6113,1975,667.9,2,1
6113,1976,667.9,1,1
6113,1978,667.9,3,1
6113,1982,667.9,5,1
6113,1979,667.9,4,1
6124,1979,177.6,1,0
6136,1983,453.5,1,1
6137,1986,265.2,2,1
6137,1979,265.2,1,1
6138,1978,558,1,1
6139,1977,558,1,0
6139,1982,558,3,0
6146,1977,793.2,1,1
6146,1979,793.2,3,1
6146,1978,793.2,2,1
6155,1977,621,2,0
6155,1976,621,1,0
6165,1978,525,1,1
6165,1980,525,2,1
6165,1983,527.2,3,1
6166,1989,1300,2,1
6166,1984,1300,1,1
6177,1979,410.9,CO1,1
6177,1980,410.9,CO2,1
6178,1980,622.4,1,0
6179,1988,460,3,1
6179,1980,615,2,1
6179,1979,615,1,1
6180,2010,916.8,OG1,1
6180,2011,878.6,OG2,1
6181,1978,446,2,0
6181,1977,486,1,0
6183,1982,410,1,1
6190,1982,558,2,1
6193,1980,360,3,0
6193,1976,360,1,0
6193,1978,360,2,0
6194,1985,567.9,2,0
6194,1982,567.9,1,0
6195,2011,300,ST2,1
6195,1976,194,ST1,1
6204,1981,570,2,1
6204,1981,570,1,1
6204,1982,570,3,1
6213,1983,540,1,1
6213,1982,540,2,1
6248,1981,552.3,1,1
6249,1977,315,2,1
6249,1975,315,1,1
6249,1980,315,3,1
6249,1981,315,4,1
6250,1983,763.2,1,1
6254,1981,725.9,1,1
6257,1982,891,1,1
6257,1989,891,4,1
6257,1987,891,3,1
6257,1984,891,2,1
6264,1980,1300,1,1
6288,1967,28,1,1
6288,1998,62,2,1
6469,1986,477,2,1
6469,1984,477,1,1
6481,1986,820,1,1
6481,1987,820,2,1
6639,1981,293,2,1
6639,1979,293,1,1
6641,1984,900,2,0
6641,1983,900,1,0
6664,1983,811.9,1,1
6705,1964,166.6,2,1
6705,1965,166.6,3,1
6705,1970,323,4,1
6705,1960,166.6,1,1
6761,1984,293.6,1,1
6768,1981,261,1,1
6772,1982,446,1,0
6823,1984,509.4,1,1
7030,1991,174.6,2,1
7030,1990,174.6,1,1
7097,2010,878,2,1
7097,1992,566,1,1
7210,1996,417.3,ST1,1
7213,1995,424,1,1
7213,1996,424,2,1
7242,1996,192.9,1CT,0
7343,1979,695.9,4,1
7504,1995,90,2,1
7790,1986,499.5,1,1
7902,1985,721,1,1
8023,1978,556,2,1
8023,1975,556,1,1
8042,1974,1245.6,1,1
8042,1975,1245.6,2,1
8066,1974,608.3,1,1
8066,1975,617,2,1
8066,1976,608.3,3,1
8066,1979,608.3,4,1
8069,1977,541.3,1,1
8069,1974,496,2,1
8102,1974,1300,1,1
8102,1975,1300,2,1
8219,1980,207,1,1
8222,1981,450,1,1
8223,2006,458.1,3,1
8223,1985,424.8,1,1
8223,2009,458.1,4,1
8223,1990,424.8,2,1
8224,1985,289.8,2,1
8224,1981,277.2,1,1
8226,1970,637,1,1
10025,1954,12.5,22TG,0
10025,1968,15,17TG,0
10025,2015,3,75TG,0
10025,1967,25.6,42TG,0
10025,1964,25.6,41TG,0
10025,1969,25.6,43TG,0
10025,1987,25.6,44TG,0
10043,1994,242.3,GEN1,1
10075,1957,84,GEN2,1
10075,1957,84,GEN1,1
10113,1988,88.4,GEN1,1
10143,1995,118,COLV,1
10151,1992,95.7,GEN1,1
10234,1987,21.5,GEN5,0
10234,1964,17,GEN1,0
10343,1990,47.3,TG1,1
10362,1979,25,GEN1,0
10362,1982,44.5,GEN3,0
10362,1980,44.5,GEN2,0
10377,1988,57.4,GEN2,1
10377,1988,57.4,GEN1,1
10384,1990,57.4,GEN1,1
10384,1990,57.4,GEN2,1
10504,1994,6.2,4000,0
10504,1948,1.5,1500,0
10504,1948,2.5,2500,0
10566,1994,285,GEN1,1
10603,1990,57.6,GEN1,1
10641,1991,98,GEN1,1
10671,1990,175,GEN1,1
10671,1990,175,GEN2,1
10673,1992,203,GEN1,1
10678,1999,229,GEN1,1
10684,1978,27.5,TG8,1
10684,1978,27.5,TG9,1
10684,1947,7.5,TG5,1
10743,1991,68.9,GEN1,1
10784,1990,46.1,GEN1,1
10849,1955,50,GEN1,0
10849,1962,81.6,GEN2,0
10860,2009,105,2A,1
10860,2009,75,1A,1
10861,1988,7.9,GEN1,0
10862,1988,7.9,GEN1,0
10863,1987,6.1,GEN1,0
10864,1988,31,GEN3,1
10864,1988,31,GEN1,1
10864,1995,31,GEN5,1
10864,2000,101.1,GEN6,1
10864,1988,31,GEN4,1
10864,1988,31,GEN2,1
10865,2005,105,GEN8,1
10865,1987,31,GEN5,1
10865,1987,31,GEN4,1
10865,1987,31,GEN3,1
10865,1997,75,GEN7,1
10865,1994,31,GEN6,1
10865,1987,31,GEN2,1
10867,1989,64.8,GEN1,1
50244,1979,12.5,GN13,1
50244,1937,7.5,GEN8,1
50244,1941,7.5,GEN9,1
50244,1952,10,GN12,1
50244,1949,7.5,GN11,1
50244,1946,7.5,GN10,1
50282,1958,35,GEN1,0
50282,1979,30,GEN2,0
50308,1955,5,GEN4,0
50308,1955,5,GEN3,0
50308,1989,5,GEN5,0
50308,1955,5,GEN1,0
50366,1956,2,GEN5,0
50366,1967,5,GEN6,0
50366,2000,9.4,GEN7,0
50392,1952,2.5,TG1,1
50392,1952,2.5,TG2,1
50392,1969,5,TG4,1
50392,1955,5,TG3,1
50392,1987,10,TG5,1
50397,1989,45.9,GEN5,0
50481,1994,16.6,TG26,1
50481,1962,10,TG14,1
50481,1963,7.5,TG15,1
50481,1953,6,TG12,1
50481,1994,18,TG25,1
50481,1949,6,TG11,1
50481,1982,15.4,TG22,1
50481,1936,6,TGO7,1
50481,1966,10.4,TG17,1
50481,1960,7,TG13,1
50481,1939,6,TGO8,1
50481,1941,6,TGO9,1
50481,1946,6,TG10,1
50481,1972,10.4,TG20,1
50611,1987,36,GEN1,1
50711,1964,1.5,GEN2,0
50711,1981,10,GEN3,0
50711,1964,1.5,GEN1,0
50776,1992,94,GEN1,1
50835,1990,70,GEN1,1
50879,1988,48,GEN1,1
50888,1995,134.1,GEN1,1
50900,1989,34,GEN5,1
50900,1951,10.5,GEN3,1
50933,1958,9.3,GEN6,1
50951,1993,58.1,GEN1,1
50974,1993,94.7,GEN1,1
50976,1995,395.4,GEN1,1
52007,1992,69.9,GEN1,1
52007,1992,69.9,GEN2,1
54081,1992,57.4,GEN4,1
54081,1992,57.4,GEN1,1
54081,1992,57.4,GEN3,1
54081,1992,57.4,GEN2,1
54098,1967,12,GEN4,0
54201,1970,11.5,GEN5,1
54201,2005,15.1,GEN6,1
54201,1978,13.2,GEN3,1
54201,1960,6.2,GEN4,1
54210,1990,13.3,G1,0
54211,1961,2,G2,0
54211,1948,3,G1,0
54212,1954,3.5,G1,0
54212,1975,3,G2,0
54213,1965,6,G1,0
54214,1990,5,G2,0
54214,1990,2.5,G1,0
54276,1991,28,TG3,1
54304,1996,258.3,1,1
54318,1968,15,TG1,1
54318,1977,15,TG2,1
54533,1976,7.5,1,0
54556,1991,22.5,TGO1,1
54556,1991,22.5,TGO2,1
54634,1990,99.2,SNCP,1
54775,1947,3,GEN1,1
54775,1956,3,GEN2,1
54775,1974,15,GEN6,1
54867,1930,6.2,M387,0
55076,2001,513.7,RHGF,1
55479,2003,90,1,1
55749,2006,115.7,UNT1,1
55856,2012,883,PC1,1
55856,2012,883,PC2,1
56068,2011,701.3,2,1
