CA_N,CA_S,WECC_AZ,WECC_CO
0.123,0.121,0.295,0.129
0,0,0.052,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.001,0,0
0.134,0.251,0.074,0.243
0.384,0.485,0.383,0.505
0.575,0.65,0.593,0.692
0.692,0.749,0.729,0.802
0.748,0.791,0.798,0.85
0.747,0.779,0.814,0.843
0.689,0.712,0.777,0.777
0.568,0.583,0.684,0.644
0.381,0.385,0.527,0.43
0.128,0.123,0.297,0.135
0,0,0.054,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.002,0,0
0.161,0.252,0.067,0.011
0.414,0.488,0.363,0.097
0.605,0.657,0.576,0.424
0.718,0.757,0.716,0.672
0.77,0.8,0.781,0.735
0.767,0.789,0.798,0.779
0.706,0.723,0.762,0.757
0.584,0.596,0.67,0.636
0.394,0.4,0.514,0.425
0.139,0.14,0.289,0.132
0,0,0.042,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.003,0,0
0.144,0.273,0.085,0.197
0.384,0.509,0.398,0.484
0.573,0.674,0.607,0.677
0.695,0.772,0.738,0.792
0.754,0.811,0.803,0.844
0.754,0.796,0.821,0.806
0.694,0.729,0.784,0.6
0.573,0.601,0.684,0.345
0.385,0.405,0.529,0.243
0.136,0.141,0.304,0.08
0,0,0.046,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.004,0,0
0.156,0.275,0.086,0.238
0.393,0.51,0.393,0.471
0.58,0.674,0.601,0.656
0.697,0.77,0.729,0.769
0.755,0.81,0.791,0.821
0.754,0.798,0.806,0.814
0.694,0.73,0.771,0.747
0.573,0.602,0.68,0.617
0.383,0.406,0.527,0.414
0.122,0.136,0.305,0.135
0,0,0.046,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.001,0,0
0.089,0.167,0.063,0.281
0.207,0.44,0.353,0.51
0.33,0.645,0.56,0.693
0.523,0.744,0.674,0.802
0.581,0.744,0.737,0.85
0.479,0.693,0.717,0.842
0.353,0.624,0.601,0.776
0.23,0.581,0.462,0.647
0.259,0.399,0.425,0.447
0.106,0.119,0.288,0.162
0,0,0.045,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.02,0.087,0.033,0.286
0.085,0.327,0.219,0.51
0.157,0.6,0.519,0.694
0.249,0.732,0.713,0.801
0.3,0.701,0.773,0.846
0.273,0.569,0.779,0.836
0.253,0.341,0.7,0.77
0.229,0.186,0.538,0.639
0.132,0.09,0.411,0.438
0.033,0.018,0.227,0.156
0,0,0.025,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.013,0.068,0.075,0.265
0.083,0.151,0.347,0.484
0.172,0.26,0.552,0.658
0.283,0.406,0.679,0.756
0.332,0.407,0.751,0.843
0.207,0.495,0.783,0.835
0.161,0.491,0.749,0.769
0.106,0.314,0.659,0.63
0.05,0.21,0.508,0.422
0.013,0.051,0.286,0.15
0,0,0.039,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.018,0.037,0.07,0.149
0.109,0.101,0.304,0.264
0.265,0.175,0.515,0.326
0.376,0.235,0.673,0.349
0.507,0.279,0.746,0.438
0.719,0.286,0.748,0.506
0.661,0.243,0.71,0.521
0.548,0.154,0.649,0.37
0.367,0.098,0.468,0.184
0.129,0.029,0.253,0.059
0,0,0.029,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.052,0.073,0.012,0.072
0.147,0.242,0.092,0.197
0.264,0.435,0.233,0.253
0.309,0.513,0.387,0.328
0.212,0.531,0.384,0.432
0.172,0.492,0.281,0.594
0.138,0.403,0.272,0.563
0.084,0.293,0.316,0.416
0.051,0.184,0.283,0.161
0.03,0.047,0.19,0.034
0,0,0.02,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.112,0.081,0.043,0.122
0.256,0.24,0.243,0.395
0.425,0.336,0.499,0.609
0.463,0.4,0.579,0.763
0.651,0.341,0.504,0.835
0.707,0.249,0.395,0.782
0.672,0.172,0.231,0.647
0.584,0.218,0.176,0.51
0.415,0.233,0.116,0.332
0.172,0.109,0.05,0.119
0.001,0,0.006,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.012,0,0
0.065,0.3,0.033,0.133
0.15,0.546,0.356,0.315
0.452,0.718,0.606,0.407
0.722,0.822,0.754,0.466
0.756,0.861,0.832,0.427
0.785,0.844,0.859,0.35
0.733,0.771,0.827,0.266
0.614,0.633,0.73,0.177
0.397,0.428,0.571,0.076
0.119,0.16,0.338,0.018
0,0,0.066,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.003,0,0
0.022,0.11,0.118,0.177
0.097,0.282,0.394,0.451
0.208,0.495,0.552,0.707
0.372,0.697,0.609,0.833
0.435,0.783,0.751,0.888
0.418,0.767,0.843,0.881
0.287,0.694,0.823,0.795
0.179,0.532,0.711,0.603
0.077,0.309,0.558,0.356
0.023,0.077,0.301,0.128
0,0,0.046,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.009,0,0
0.024,0.234,0.103,0.179
0.119,0.508,0.383,0.444
0.27,0.692,0.597,0.674
0.476,0.788,0.741,0.804
0.576,0.815,0.816,0.866
0.574,0.788,0.836,0.87
0.6,0.719,0.802,0.806
0.519,0.595,0.712,0.671
0.283,0.41,0.552,0.447
0.052,0.151,0.322,0.08
0,0,0.063,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.003,0,0
0.015,0.095,0.124,0.169
0.105,0.235,0.403,0.439
0.256,0.42,0.611,0.652
0.388,0.54,0.751,0.809
0.393,0.575,0.827,0.867
0.331,0.505,0.847,0.838
0.279,0.29,0.811,0.71
0.142,0.11,0.717,0.479
0.076,0.052,0.556,0.183
0.021,0.021,0.32,0.044
